French,English
partie,part
histoire,history
chercher,search
seulement,only
pensais,thought
aide,help
demande,request
mois,month
laisser,let
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
voici,here is
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
endroit,place
écoute,listen
dont,whose
premier,first
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
matin,morning
tellement,so much
enfant,child
point,point
venu,came
suite,after
venez,come
devant,in front of
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
loin,far
fin,end
croire,believe
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
